#, run1, run2, run3, run4, run5, run6, run7, run8, run9, run10, avg, std
IBk.1.Holdout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBk.1.Holdoutgen,0.076,0.075,0.06,0.069,0.07,0.066,0.07,0.067,0.058,0.074,0.0685,0.00600462784488394
IBk.1.CV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBk.1.CVgen,0.02,0.0203,0.020800000000000003,0.0203,0.020900000000000002,0.0211,0.0204,0.021899999999999996,0.019899999999999994,0.0203,0.02059,5.989806155275628E-4
IBk.1.LOOCV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBk.1.LOOCVgen,0.0026000000000000007,0.0016,0.002800000000000001,0.0017000000000000001,0.002800000000000001,0.002800000000000001,0.002300000000000001,0.0019000000000000002,0.0024000000000000007,0.0021000000000000003,0.0023000000000000004,4.5946829173634107E-4
IBk.1.Resample,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBk.1.Resamplegen,0.03660000000000001,0.03550000000000002,0.038300000000000015,0.03560000000000001,0.03480000000000001,0.038250000000000006,0.03735000000000001,0.03710000000000001,0.036300000000000006,0.03340000000000002,0.03632000000000001,0.0015427608729518332
IBk.3.Holdout,0.073,0.065,0.072,0.083,0.066,0.06,0.061,0.06,0.065,0.071,0.0676,0.007244921593011818
IBk.3.Holdoutgen,0.062,0.061,0.06,0.051,0.054,0.07,0.056,0.071,0.059,0.067,0.0611,0.006640783086353598
IBk.3.CV,0.09029999999999998,0.09109999999999999,0.09059999999999999,0.09069999999999998,0.09049999999999998,0.09109999999999999,0.09129999999999999,0.09099999999999998,0.09029999999999998,0.09179999999999998,0.09086999999999998,4.7853944456021795E-4
IBk.3.CVgen,0.0193,0.019400000000000008,0.0189,0.019,0.0184,0.0191,0.0187,0.0191,0.019399999999999997,0.018500000000000003,0.01898,3.552776691859796E-4
IBk.3.LOOCV,0.10889999999999994,0.07970000000000003,0.08929999999999991,0.11859999999999982,0.12920000000000015,0.07960000000000006,0.1088999999999999,0.13780000000000017,0.15730000000000013,0.10919999999999991,0.11185,0.025149121919727853
IBk.3.LOOCVgen,0.0024000000000000007,0.0019000000000000002,0.0019000000000000002,0.0022000000000000006,0.0027000000000000006,0.0020000000000000005,0.002300000000000001,0.0021000000000000003,0.0024000000000000007,0.0024000000000000007,0.0022300000000000006,2.584139659108576E-4
IBk.3.Resample,0.058750000000000004,0.05855000000000001,0.058100000000000006,0.05745,0.059050000000000026,0.05950000000000001,0.0598,0.05765000000000002,0.06050000000000001,0.057000000000000016,0.058635000000000013,0.0011110680547213208
IBk.3.Resamplegen,0.05455000000000001,0.051300000000000026,0.055900000000000005,0.05350000000000001,0.049950000000000015,0.0546,0.052650000000000016,0.052800000000000014,0.05025000000000002,0.05015000000000001,0.052565000000000014,0.002102121943814547
IBk.5.Holdout,0.08,0.081,0.072,0.074,0.079,0.089,0.084,0.078,0.079,0.091,0.0807,0.005963779562212765
IBk.5.Holdoutgen,0.076,0.062,0.061,0.068,0.063,0.058,0.064,0.066,0.056,0.054,0.0628,0.0063560994328282815
IBk.5.CV,0.10800000000000001,0.1085,0.10840000000000001,0.10740000000000001,0.10839999999999998,0.10840000000000001,0.1076,0.10840000000000001,0.1076,0.1089,0.10816,4.857983120596425E-4
IBk.5.CVgen,0.018400000000000003,0.0185,0.0174,0.017599999999999998,0.0186,0.017800000000000003,0.017800000000000003,0.018799999999999997,0.0172,0.018500000000000003,0.01806,5.641118880348313E-4
IBk.5.LOOCV,0.12880000000000014,0.14830000000000024,0.18819999999999998,0.17749999999999988,0.1284000000000001,0.20660000000000023,0.1606000000000001,0.1586000000000001,0.13810000000000017,0.09959999999999983,0.15347000000000008,0.031772841302666756
IBk.5.LOOCVgen,0.0019000000000000002,0.0020000000000000005,0.0026000000000000007,0.0024000000000000007,0.0017000000000000001,0.003100000000000001,0.0026000000000000007,0.003000000000000001,0.002300000000000001,0.0017000000000000001,0.0023300000000000005,5.034326612809749E-4
IBk.5.Resample,0.07619999999999999,0.0733,0.07604999999999999,0.07545,0.07784999999999999,0.07519999999999999,0.07355,0.07495,0.07385,0.0725,0.07489,0.0016108658817197902
IBk.5.Resamplegen,0.05525000000000001,0.05385000000000001,0.055300000000000016,0.05465000000000001,0.05575,0.055700000000000006,0.05770000000000001,0.05350000000000001,0.05635000000000001,0.05195000000000002,0.05500000000000001,0.0016095202874010467
IBk.10.Holdout,0.095,0.099,0.101,0.086,0.085,0.098,0.103,0.095,0.08,0.091,0.0933,0.007587270040447135
IBk.10.Holdoutgen,0.058,0.052,0.054,0.063,0.065,0.053,0.05,0.059,0.064,0.056,0.0574,0.005295700562196134
IBk.10.CV,0.1236,0.1236,0.1222,0.12520000000000003,0.1246,0.12290000000000001,0.12430000000000001,0.1246,0.12490000000000001,0.12279999999999998,0.12387000000000001,0.0010055954565441501
IBk.10.CVgen,0.016800000000000002,0.0166,0.016599999999999997,0.015599999999999998,0.0172,0.016300000000000002,0.016000000000000004,0.0162,0.0167,0.0174,0.01654,5.399588461684422E-4
IBk.10.LOOCV,0.13970000000000016,0.14970000000000025,0.14890000000000023,0.13920000000000018,0.11729999999999985,0.12900000000000014,0.1403000000000002,0.18799999999999997,0.18689999999999998,0.16700000000000007,0.1506000000000001,0.023379525705672925
IBk.10.LOOCVgen,0.0020000000000000005,0.0020000000000000005,0.0016,0.0016,0.0016,0.0019000000000000002,0.0020000000000000005,0.002300000000000001,0.0020000000000000005,0.0019000000000000002,0.0018900000000000004,2.2827858224351935E-4
IBk.10.Resample,0.09250000000000001,0.0844,0.08719999999999997,0.08865,0.09274999999999999,0.0887,0.09,0.08990000000000001,0.09390000000000003,0.08675,0.089475,0.0029730502481084666
IBk.10.Resamplegen,0.053349999999999995,0.05510000000000002,0.055200000000000006,0.05745,0.05590000000000002,0.05305000000000001,0.051650000000000015,0.056450000000000014,0.05370000000000001,0.05355000000000002,0.05454000000000001,0.0017760442937419468
J48.2.Holdout,0.104,0.099,0.107,0.112,0.099,0.064,0.092,0.105,0.084,0.084,0.095,0.014368174708168204
J48.2.Holdoutgen,0.053,0.056,0.052,0.047,0.047,0.074,0.054,0.054,0.05,0.066,0.0553,0.008499019551297275
J48.2.CV,0.1038,0.10940000000000001,0.11540000000000002,0.11839999999999999,0.1122,0.11449999999999998,0.11099999999999999,0.1169,0.12109999999999999,0.10419999999999999,0.11269,0.005741747701411709
J48.2.CVgen,0.017499999999999998,0.0183,0.017099999999999997,0.017100000000000004,0.017000000000000005,0.017599999999999998,0.016300000000000002,0.017599999999999998,0.0181,0.0174,0.0174,5.715476066494074E-4
J48.2.LOOCV,0.20209999999999975,0.12699999999999992,0.17679999999999985,0.16600000000000004,0.19109999999999977,0.12909999999999985,0.12560000000000018,0.12019999999999982,0.15840000000000015,0.12109999999999989,0.15173999999999993,0.03109584466702187
J48.2.LOOCVgen,0.0024000000000000007,0.0026000000000000007,0.002300000000000001,0.0019000000000000002,0.0018000000000000002,0.0021000000000000003,0.0022000000000000006,0.0015,0.0016,0.0019000000000000002,0.0020300000000000006,3.5292429153510493E-4
J48.2.Resample,0.04625,0.053700000000000005,0.0508,0.05425000000000001,0.044350000000000014,0.05030000000000001,0.052550000000000006,0.04960000000000002,0.04675,0.0519,0.050045000000000006,0.003321349290741807
J48.2.Resamplegen,0.04370000000000001,0.04780000000000002,0.045100000000000015,0.04855000000000002,0.04575000000000001,0.04770000000000001,0.04735000000000002,0.046350000000000016,0.04720000000000002,0.04410000000000001,0.04636000000000001,0.0016497137798889743
J48.5.Holdout,0.103,0.102,0.085,0.098,0.104,0.097,0.087,0.095,0.087,0.1,0.0958,0.0070992957397195385
J48.5.Holdoutgen,0.056,0.052,0.062,0.062,0.055,0.064,0.065,0.052,0.068,0.054,0.059,0.005849976258261416
J48.5.CV,0.13620000000000002,0.1374,0.1343,0.13299999999999998,0.1356,0.13160000000000002,0.131,0.1339,0.1335,0.1375,0.1344,0.002253885533916928
J48.5.CVgen,0.0159,0.0165,0.0177,0.017200000000000003,0.016300000000000002,0.0167,0.018000000000000002,0.016599999999999997,0.0172,0.016499999999999994,0.01686,6.518350166176178E-4
J48.5.LOOCV,0.1374000000000002,0.11039999999999994,0.17810000000000012,0.17859999999999984,0.12279999999999978,0.22770000000000024,0.2126999999999999,0.11489999999999989,0.15840000000000015,0.23149999999999984,0.16724999999999998,0.045961463326477256
J48.5.LOOCVgen,0.0012999999999999997,0.0016,0.0037000000000000015,0.0024000000000000007,0.0021000000000000003,0.002300000000000001,0.002900000000000001,0.0024000000000000007,0.0016,0.002900000000000001,0.0023200000000000004,7.238784428341548E-4
J48.5.Resample,0.07350000000000001,0.07335000000000001,0.07235,0.07335,0.07815,0.07915000000000001,0.07015000000000002,0.07419999999999999,0.07239999999999999,0.07415000000000002,0.074075,0.002686411278184253
J48.5.Resamplegen,0.05230000000000003,0.05180000000000001,0.05340000000000002,0.0524,0.05170000000000001,0.05520000000000001,0.05045000000000001,0.05265000000000001,0.051150000000000015,0.05040000000000002,0.05214500000000001,0.0014328390620644653
J48.10.Holdout,0.102,0.103,0.082,0.09,0.106,0.094,0.094,0.099,0.102,0.101,0.0973,0.007288499312082165
J48.10.Holdoutgen,0.053,0.056,0.07,0.082,0.066,0.066,0.06,0.054,0.065,0.05,0.062200000000000005,0.009624043964063248
J48.10.CV,0.138,0.1404,0.14179999999999998,0.1377,0.1401,0.1401,0.1406,0.13740000000000002,0.1384,0.1404,0.13949,0.0014888101140022986
J48.10.CVgen,0.016599999999999997,0.017,0.017300000000000003,0.016800000000000002,0.016599999999999997,0.016600000000000004,0.016399999999999998,0.0172,0.0167,0.0169,0.01681,2.884826203122519E-4
J48.10.LOOCV,0.1978000000000003,0.17769999999999983,0.1629000000000002,0.25740000000000035,0.15160000000000026,0.1386000000000002,0.18019999999999978,0.2474999999999999,0.20790000000000028,0.15870000000000015,0.1880300000000001,0.03981819935657563
J48.10.LOOCVgen,0.0022000000000000006,0.0018000000000000002,0.004300000000000002,0.0026000000000000007,0.003100000000000001,0.0015,0.002300000000000001,0.0025000000000000005,0.0021000000000000003,0.0019000000000000002,0.0024300000000000007,7.958922316774081E-4
J48.10.Resample,0.08865,0.08864999999999999,0.09445,0.08979999999999999,0.0935,0.09035000000000001,0.0887,0.08589999999999999,0.09135000000000001,0.09045,0.09018,0.0024957964660604877
J48.10.Resamplegen,0.05150000000000001,0.05105000000000002,0.05125000000000002,0.05440000000000002,0.05155000000000002,0.05340000000000002,0.052550000000000006,0.0548,0.05005000000000002,0.052900000000000016,0.052345000000000017,0.0015348633670641651
J48.30.Holdout,0.118,0.108,0.11,0.104,0.117,0.116,0.117,0.117,0.113,0.126,0.11460000000000001,0.006149977416399367
J48.30.Holdoutgen,0.055,0.065,0.062,0.069,0.055,0.056,0.056,0.056,0.06,0.047,0.0581,0.0061544924874255705
J48.30.CV,0.1444,0.14379999999999998,0.14409999999999998,0.14409999999999998,0.1429,0.1425,0.14300000000000002,0.143,0.1417,0.14429999999999998,0.14337999999999998,8.95420447486973E-4
J48.30.CVgen,0.016000000000000004,0.017,0.0167,0.0164,0.0172,0.0162,0.016000000000000004,0.016300000000000002,0.016200000000000003,0.016100000000000003,0.01641,4.201851443775168E-4
J48.30.LOOCV,0.2672999999999999,0.19799999999999976,0.2474999999999999,0.2607999999999999,0.21780000000000008,0.2958000000000002,0.19799999999999976,0.3047000000000001,0.21780000000000005,0.24749999999999986,0.24551999999999996,0.037711088849597396
J48.30.LOOCVgen,0.0027000000000000006,0.0020000000000000005,0.0025000000000000005,0.004500000000000002,0.0022000000000000006,0.003200000000000001,0.0020000000000000005,0.004300000000000002,0.0022000000000000006,0.0025000000000000005,0.002810000000000001,9.122012448528626E-4
J48.30.Resample,0.10875000000000001,0.10755,0.10695000000000003,0.10225000000000002,0.1078,0.11045000000000002,0.10975000000000004,0.10925000000000003,0.1078,0.10395000000000001,0.10745000000000002,0.002560707367549489
J48.30.Resamplegen,0.0581,0.05575,0.059950000000000024,0.061250000000000006,0.05725000000000001,0.0571,0.05885,0.05990000000000001,0.05875000000000001,0.058100000000000006,0.0585,0.0016060648942195505
NaiveBayes.Holdout,0.099,0.1,0.109,0.105,0.096,0.108,0.114,0.1,0.091,0.096,0.1018,0.007052186422190875
NaiveBayes.Holdoutgen,0.061,0.054,0.049,0.054,0.059,0.047,0.043,0.054,0.063,0.059,0.0543,0.006447221623821122
NaiveBayes.CV,0.13840000000000002,0.1385,0.1385,0.1376,0.1384,0.13890000000000002,0.1387,0.1382,0.13799999999999998,0.1391,0.13843,4.321779468896836E-4
NaiveBayes.CVgen,0.016200000000000003,0.0165,0.016500000000000004,0.016400000000000005,0.016599999999999997,0.016500000000000004,0.016000000000000004,0.016399999999999998,0.016500000000000004,0.0158,0.01634,2.590581230363389E-4
NaiveBayes.LOOCV,0.1307000000000002,0.18780000000000002,0.14750000000000024,0.12840000000000013,0.10179999999999984,0.11019999999999991,0.13240000000000024,0.07680000000000006,0.13320000000000007,0.10469999999999992,0.12535000000000007,0.03001393195019797
NaiveBayes.LOOCVgen,0.0016,0.0022000000000000006,0.0021000000000000003,0.0019000000000000002,0.0017000000000000001,0.0018000000000000002,0.0019000000000000002,0.0012,0.0019000000000000002,0.0013999999999999998,0.00177,3.0568684048294355E-4
NaiveBayes.Resample,0.09820000000000002,0.09805,0.09875000000000002,0.10200000000000001,0.09860000000000002,0.10275000000000001,0.10040000000000002,0.10350000000000001,0.10195000000000001,0.0998,0.10040000000000002,0.0020215505600075056
NaiveBayes.Resamplegen,0.05340000000000002,0.05485000000000001,0.05295000000000001,0.053300000000000014,0.05610000000000002,0.05355000000000001,0.0541,0.05435000000000002,0.05105000000000002,0.05520000000000001,0.053885000000000016,0.0013916516965262692
SMO.1.0.PolyKernel.Holdout,0.101,0.098,0.104,0.105,0.085,0.101,0.087,0.105,0.092,0.093,0.0971,0.007415449338299661
SMO.1.0.PolyKernel.Holdoutgen,0.061,0.066,0.05,0.06,0.063,0.058,0.07,0.057,0.073,0.062,0.062,0.006599663291074444
SMO.1.0.PolyKernel.CV,0.1351,0.1376,0.13740000000000002,0.13440000000000002,0.1338,0.1351,0.1351,0.13699999999999998,0.1359,0.13530000000000003,0.13567,0.0012806682283523342
SMO.1.0.PolyKernel.CVgen,0.018499999999999996,0.0183,0.018999999999999996,0.0189,0.018400000000000003,0.0184,0.017400000000000002,0.0193,0.018399999999999996,0.017499999999999998,0.01841,6.008327554319916E-4
SMO.1.0.PolyKernel.LOOCV,0.10609999999999996,0.05959999999999992,0.04909999999999993,0.06860000000000004,0.048899999999999916,0.06079999999999991,0.07760000000000006,0.11499999999999988,0.05829999999999992,0.07740000000000005,0.07213999999999995,0.022628899909432437
SMO.1.0.PolyKernel.LOOCVgen,0.0021000000000000003,0.0021000000000000003,0.0018000000000000002,0.002300000000000001,0.0015,0.002300000000000001,0.0016,0.0035000000000000014,0.0021000000000000003,0.0017000000000000001,0.0021000000000000003,5.676462121975471E-4
SMO.1.0.PolyKernel.Resample,0.085,0.0889,0.0858,0.08574999999999999,0.08660000000000001,0.08575000000000002,0.08530000000000001,0.08455,0.08549999999999999,0.08424999999999999,0.08574000000000001,0.0012980326994682747
SMO.1.0.PolyKernel.Resamplegen,0.0538,0.05760000000000002,0.05515000000000001,0.05635000000000001,0.05450000000000001,0.05725000000000002,0.05635,0.05120000000000001,0.054400000000000004,0.05440000000000002,0.05510000000000001,0.0018926759422104552
SMO.5.0.PolyKernel.Holdout,0.094,0.104,0.092,0.102,0.09,0.094,0.092,0.097,0.086,0.089,0.094,0.005637178175095921
SMO.5.0.PolyKernel.Holdoutgen,0.066,0.062,0.063,0.064,0.053,0.059,0.061,0.069,0.064,0.069,0.063,0.004760952285695236
SMO.5.0.PolyKernel.CV,0.1282,0.1265,0.1285,0.1266,0.1255,0.12730000000000002,0.12730000000000002,0.12490000000000001,0.12679999999999997,0.1251,0.12667,0.0012247902314727697
SMO.5.0.PolyKernel.CVgen,0.017699999999999997,0.017200000000000003,0.017300000000000003,0.017000000000000005,0.018,0.017100000000000004,0.0177,0.018499999999999996,0.017599999999999998,0.017499999999999998,0.01756,4.526465385804759E-4
SMO.5.0.PolyKernel.LOOCV,0.06810000000000006,0.059299999999999915,0.04869999999999991,0.06640000000000006,0.022300000000000007,0.05999999999999992,0.04969999999999991,0.06069999999999991,0.02919999999999996,0.009800000000000007,0.04741999999999997,0.020134922674574913
SMO.5.0.PolyKernel.LOOCVgen,0.0021000000000000003,0.0022000000000000006,0.0021000000000000003,0.0015,0.0017000000000000001,0.002800000000000001,0.0015,0.002300000000000001,0.0013999999999999998,0.0019000000000000002,0.0019500000000000003,4.377975178854569E-4
SMO.5.0.PolyKernel.Resample,0.07765,0.07855,0.07915000000000001,0.08105000000000001,0.07830000000000001,0.08355,0.0807,0.07944999999999999,0.07759999999999999,0.07774999999999999,0.079375,0.0019047090766483676
SMO.5.0.PolyKernel.Resamplegen,0.052500000000000005,0.052800000000000014,0.05465000000000002,0.05505000000000001,0.050650000000000014,0.05570000000000001,0.05345000000000002,0.05505000000000001,0.054700000000000006,0.05400000000000001,0.053855000000000014,0.0015279706948905934
SMO.1.0.RBFKernel.Holdout,0.142,0.154,0.148,0.165,0.154,0.15,0.165,0.153,0.149,0.148,0.1528,0.007345444544447644
SMO.1.0.RBFKernel.Holdoutgen,0.073,0.087,0.069,0.069,0.087,0.074,0.076,0.08,0.092,0.093,0.08,0.009153020145163985
SMO.1.0.RBFKernel.CV,0.184,0.18620000000000003,0.18509999999999996,0.19740000000000002,0.18780000000000002,0.18480000000000002,0.18409999999999999,0.192,0.18539999999999998,0.18660000000000002,0.18734,0.004240859451678275
SMO.1.0.RBFKernel.CVgen,0.0211,0.021799999999999996,0.021299999999999996,0.022199999999999998,0.021299999999999996,0.021299999999999996,0.021099999999999994,0.022399999999999996,0.021199999999999993,0.021899999999999996,0.021559999999999996,4.7656176001764075E-4
SMO.1.0.RBFKernel.LOOCV,0.26729999999999987,0.22770000000000024,0.2277000000000003,0.2375999999999998,0.24749999999999986,0.2772000000000002,0.21780000000000002,0.23759999999999976,0.25740000000000035,0.2474999999999999,0.24453000000000003,0.0186967644259642
SMO.1.0.RBFKernel.LOOCVgen,0.0027000000000000006,0.002300000000000001,0.002300000000000001,0.0024000000000000007,0.0025000000000000005,0.002800000000000001,0.0022000000000000006,0.0024000000000000007,0.0026000000000000007,0.0025000000000000005,0.002470000000000001,1.888562063228706E-4
SMO.1.0.RBFKernel.Resample,0.14784999999999998,0.14494999999999997,0.14645,0.13885,0.13994999999999996,0.14439999999999995,0.13559999999999997,0.14325000000000002,0.14285,0.151,0.14351499999999998,0.00452038899506079
SMO.1.0.RBFKernel.Resamplegen,0.07559999999999999,0.0726,0.07635,0.07255000000000002,0.0728,0.07604999999999999,0.0696,0.07649999999999998,0.07354999999999999,0.07594999999999999,0.074155,0.002289159234304154
SMO.5.0.RBFKernel.Holdout,0.113,0.107,0.092,0.098,0.104,0.105,0.106,0.099,0.096,0.112,0.1032,0.006844300142778986
SMO.5.0.RBFKernel.Holdoutgen,0.057,0.061,0.066,0.059,0.062,0.057,0.051,0.065,0.062,0.057,0.0597,0.004448470398787531
SMO.5.0.RBFKernel.CV,0.147,0.14559999999999998,0.1482,0.14609999999999998,0.1462,0.1466,0.1465,0.14689999999999998,0.14709999999999998,0.14709999999999998,0.14673,7.118832613411984E-4
SMO.5.0.RBFKernel.CVgen,0.0177,0.017599999999999998,0.0174,0.018199999999999997,0.017599999999999998,0.0175,0.017299999999999996,0.0172,0.017400000000000002,0.017499999999999998,0.01754,2.75680975041804E-4
SMO.5.0.RBFKernel.LOOCV,0.15030000000000016,0.21339999999999992,0.14850000000000024,0.22690000000000007,0.10989999999999994,0.19619999999999982,0.25250000000000006,0.18780000000000002,0.11530000000000001,0.19799999999999973,0.17987999999999998,0.04736735397108667
SMO.5.0.RBFKernel.LOOCVgen,0.0034000000000000015,0.002900000000000001,0.0015,0.003000000000000001,0.0012999999999999997,0.0025000000000000005,0.002900000000000001,0.0019000000000000002,0.0021000000000000003,0.0020000000000000005,0.0023500000000000005,6.964194138592065E-4
SMO.5.0.RBFKernel.Resample,0.09505,0.10035000000000001,0.09950000000000003,0.1005,0.09845000000000001,0.09985000000000002,0.09810000000000002,0.09575000000000002,0.09809999999999999,0.09755000000000001,0.09832000000000002,0.0018442402832120972
SMO.5.0.RBFKernel.Resamplegen,0.053600000000000016,0.05475000000000002,0.054300000000000015,0.05725000000000002,0.055200000000000006,0.0534,0.05235000000000002,0.05550000000000001,0.055700000000000006,0.05725000000000001,0.054930000000000014,0.0015969067321265538
