#Algorithm,IBk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NBC,,,,,,,,,SMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Parameter,1,,,,,,,,,3,,,,,,,,,5,,,,,,,,,10,,,,,,,,,2,,,,,,,,,5,,,,,,,,,10,,,,,,,,,30,,,,,,,,,,,,,,,,,,1-P,,,,,,,,,5-P,,,,,,,,,1-RBF,,,,,,,,,5-RBF,,,,,,,,,
#Gen Est Method,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,
Run 1,0.0,0.0014992503748125937,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.003003003003003003,0.014992503748125937,0.002,0.002,0.0,0.0,0.001,0.0,3.78E-4,0.009009009009009009,0.0,0.002,0.002,0.0,0.0,0.0,0.0027247956403269754,0.0017220708446866486,0.003003003003003003,0.01199400299850075,0.0017777777777777779,0.003,0.0,0.0,0.002,0.005449591280653951,0.004200141689373297,0.006006006006006006,0.025487256371814093,0.005111111111111111,0.026000000000000002,0.0,0.0,0.004,0.01634877384196185,0.01184442506811989,0.024024024024024024,0.08695652173913043,0.008777777777777777,0.030000000000000006,0.0,0.0,0.006,0.02997275204359673,0.02121077929155313,0.042042042042042045,0.08845577211394302,0.011999999999999999,0.026000000000000006,0.0,0.0,0.011,0.035422343324250684,0.02654492098092643,0.07207207207207207,0.12443778110944528,0.05511111111111111,0.082,0.0,0.0,0.024,0.02997275204359673,0.028014779291553132,0.14414414414414414,0.1454272863568216,0.15955555555555553,0.16299999999999998,0.0,0.0,0.148,0.14168937329700274,0.14549168392370573,0.024024024024024024,0.02848575712143928,0.016666666666666666,0.019000000000000003,0.0,0.0,0.016,0.021798365122615803,0.019824566757493188,0.018018018018018018,0.01649175412293853,0.012111111111111112,0.013000000000000001,0.0,0.0,0.02,0.008174386920980926,0.012726212534059946,0.43843843843843844,0.4482758620689655,0.17144444444444445,0.172,0.0,0.0,0.137,0.15803814713896458,0.15166610899182562,0.08708708708708708,0.08845577211394302,0.04244444444444444,0.043,0.0,0.0,0.043,0.043596730245231606,0.04380713351498637,
Run 2,0.0,0.0029985007496251873,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.006006006006006006,0.0014992503748125937,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.008995502248875561,0.002,0.002,0.0,0.0,0.001,0.0,3.78E-4,0.009009009009009009,0.01199400299850075,0.001888888888888889,0.002,0.0,0.0,0.0,0.0027247956403269754,0.0017220708446866486,0.009009009009009009,0.035982008995502246,0.005222222222222223,0.021,0.0,0.0,0.002,0.008174386920980926,0.005922212534059945,0.02702702702702703,0.041979010494752625,0.00911111111111111,0.022,0.0,0.0,0.003,0.021798365122615803,0.014910566757493188,0.015015015015015015,0.038980509745127435,0.011777777777777778,0.03,0.0,0.0,0.017,0.02997275204359673,0.025368779291553133,0.06306306306306306,0.12143928035982009,0.05644444444444444,0.081,0.0,0.0,0.029,0.05994550408719346,0.048847558583106264,0.12912912912912913,0.1874062968515742,0.1595555555555556,0.16099999999999998,0.0,0.0,0.165,0.15258855585831063,0.15880596730245233,0.024024024024024024,0.0239880059970015,0.017222222222222222,0.016999999999999998,0.0,0.0,0.018,0.013623978201634877,0.015414354223433242,0.012012012012012012,0.02848575712143928,0.012222222222222221,0.013000000000000001,0.0,0.0,0.01,0.010899182561307902,0.010668283378746594,0.40540540540540543,0.46476761619190404,0.1703333333333333,0.17099999999999999,0.0,0.0,0.158,0.14168937329700274,0.1492716839237057,0.10810810810810811,0.08695652173913043,0.04277777777777778,0.044,0.0,0.0,0.046,0.035422343324250684,0.03977492098092643,
Run 3,0.0,0.0014992503748125937,0.0,0.002,0.0,0.0,0.0,0.0027247956403269754,0.0017220708446866486,0.006006006006006006,0.019490254872563718,0.002,0.002,0.0,0.0,0.001,0.0,3.78E-4,0.003003003003003003,0.0,0.002,0.002,0.0,0.0,0.002,0.0,7.56E-4,0.006006006006006006,0.019490254872563718,0.0022222222222222222,0.004,0.0,0.0,0.003,0.0,0.001134,0.003003003003003003,0.06296851574212893,0.005222222222222223,0.022,0.0,0.0,0.001,0.0326975476839237,0.02104285013623978,0.012012012012012012,0.06296851574212893,0.008888888888888887,0.029000000000000005,0.0,0.0,0.006,0.04087193460490463,0.028099062670299726,0.021021021021021023,0.044977511244377814,0.01311111111111111,0.028000000000000004,0.0,0.0,0.008,0.0326975476839237,0.02368885013623978,0.0990990990990991,0.10044977511244378,0.050222222222222224,0.07900000000000001,0.0,0.0,0.024,0.0653950953678474,0.05040170027247956,0.12012012012012012,0.16041979010494753,0.15933333333333333,0.15999999999999998,0.0,0.0,0.147,0.1553133514986376,0.15372403814713895,0.021021021021021023,0.022488755622188907,0.016666666666666666,0.017,0.0,0.0,0.023,0.021798365122615803,0.02247056675749319,0.02702702702702703,0.02848575712143928,0.012666666666666668,0.013999999999999999,0.0,0.0,0.017,0.008174386920980926,0.011592212534059947,0.3993993993993994,0.46776611694152925,0.1721111111111111,0.174,0.0,0.0,0.178,0.15803814713896458,0.1671641089918256,0.1021021021021021,0.10494752623688156,0.04322222222222223,0.040999999999999995,0.0,0.0,0.033,0.03814713896457766,0.03658299182561308,
Run 4,0.0,0.0029985007496251873,0.0,0.002,0.0,0.0,0.0,0.0027247956403269754,0.0017220708446866486,0.003003003003003003,0.0014992503748125937,0.002,0.002,0.0,0.0,0.001,0.0,3.78E-4,0.009009009009009009,0.013493253373313344,0.002,0.002,0.0,0.0,0.001,0.0027247956403269754,0.0021000708446866486,0.009009009009009009,0.008995502248875561,0.0022222222222222222,0.003,0.0,0.0,0.004,0.008174386920980926,0.006678212534059946,0.003003003003003003,0.041979010494752625,0.004222222222222223,0.028000000000000004,0.0,0.0,0.001,0.021798365122615803,0.014154566757493188,0.024024024024024024,0.035982008995502246,0.008333333333333335,0.02,0.0,0.0,0.003,0.01634877384196185,0.01146642506811989,0.02702702702702703,0.06896551724137931,0.012333333333333333,0.02,0.0,0.0,0.02,0.04087193460490463,0.033391062670299725,0.08708708708708708,0.1184407796101949,0.05066666666666667,0.06700000000000002,0.0,0.0,0.053,0.1008174386920981,0.08375062125340599,0.1891891891891892,0.15292353823088456,0.15899999999999997,0.16399999999999998,0.0,0.0,0.157,0.1362397820163488,0.14544954223433243,0.03303303303303303,0.035982008995502246,0.01633333333333333,0.017999999999999995,0.0,0.0,0.015,0.01907356948228883,0.01772449591280654,0.012012012012012012,0.01649175412293853,0.013111111111111112,0.013000000000000001,0.0,0.0,0.011,0.013623978201634877,0.012768354223433243,0.3843843843843844,0.4752623688155922,0.16977777777777778,0.174,0.0,0.0,0.282,0.29427792915531337,0.29257965122615803,0.0990990990990991,0.10344827586206896,0.042333333333333334,0.042,0.0,0.0,0.045,0.03814713896457766,0.041118991825613085,
Run 5,0.0,0.0014992503748125937,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.006006006006006006,0.0029985007496251873,0.002,0.002,0.0,0.0,0.002,0.0,7.56E-4,0.006006006006006006,0.013493253373313344,0.002,0.002,0.0,0.0,0.0,0.005449591280653951,0.003444141689373297,0.009009009009009009,0.01199400299850075,0.001888888888888889,0.003,0.0,0.0,0.002,0.008174386920980926,0.005922212534059945,0.012012012012012012,0.019490254872563718,0.004666666666666667,0.024,0.0,0.0,0.002,0.01634877384196185,0.01108842506811989,0.018018018018018018,0.06296851574212893,0.009333333333333332,0.025,0.0,0.0,0.006,0.02997275204359673,0.02121077929155313,0.02702702702702703,0.05847076461769116,0.01111111111111111,0.024,0.0,0.0,0.01,0.05449591280653951,0.03822141689373297,0.06906906906906907,0.11694152923538231,0.057444444444444444,0.07300000000000001,0.0,0.0,0.036,0.0653950953678474,0.05493770027247956,0.14714714714714713,0.14392803598200898,0.15977777777777777,0.15999999999999998,0.0,0.0,0.161,0.1907356948228883,0.1814029591280654,0.024024024024024024,0.017991004497751123,0.016777777777777777,0.017999999999999995,0.0,0.0,0.014,0.02997275204359673,0.024234779291553134,0.018018018018018018,0.01649175412293853,0.012222222222222221,0.012,0.0,0.0,0.019,0.010899182561307902,0.014070283378746594,0.4174174174174174,0.43478260869565216,0.17144444444444445,0.173,0.0,0.0,0.135,0.1008174386920981,0.114746621253406,0.11411411411411411,0.08545727136431784,0.042777777777777776,0.042,0.0,0.0,0.045,0.02997275204359673,0.03595277929155313,
Run 6,0.0,0.0014992503748125937,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.006006006006006006,0.013493253373313344,0.002,0.002,0.0,0.0,0.003,0.0,0.001134,0.006006006006006006,0.005997001499250375,0.002,0.002,0.0,0.0,0.002,0.005449591280653951,0.004200141689373297,0.015015015015015015,0.0074962518740629685,0.002,0.002,0.0,0.0,0.003,0.0,0.001134,0.003003003003003003,0.025487256371814093,0.004666666666666667,0.021,0.0,0.0,0.004,0.04087193460490463,0.027343062670299727,0.015015015015015015,0.04047976011994003,0.009555555555555557,0.024,0.0,0.0,0.007,0.01907356948228883,0.01470049591280654,0.015015015015015015,0.05697151424287856,0.01177777777777778,0.021,0.0,0.0,0.014,0.0326975476839237,0.02595685013623978,0.09309309309309309,0.1199400299850075,0.0548888888888889,0.071,0.0,0.0,0.032,0.04087193460490463,0.03792706267029973,0.16216216216216217,0.17091454272863568,0.1591111111111111,0.16299999999999998,0.0,0.0,0.159,0.17983651226158037,0.1737586757493188,0.02702702702702703,0.025487256371814093,0.016444444444444446,0.016000000000000004,0.0,0.0,0.025,0.01634877384196185,0.01978242506811989,0.012012012012012012,0.019490254872563718,0.012555555555555556,0.014000000000000002,0.0,0.0,0.011,0.013623978201634877,0.012768354223433243,0.42342342342342343,0.45577211394302847,0.17133333333333334,0.16999999999999998,0.0,0.0,0.158,0.17438692098092642,0.16993653405994552,0.0990990990990991,0.11394302848575712,0.04333333333333334,0.044000000000000004,0.0,0.0,0.039,0.0326975476839237,0.03540685013623978,
Run 7,0.0,0.0029985007496251873,0.0,0.002,0.0,0.0,0.0,0.0027247956403269754,0.0017220708446866486,0.003003003003003003,0.0014992503748125937,0.002,0.002,0.0,0.0,0.0,0.005449591280653951,0.003444141689373297,0.0,0.0014992503748125937,0.002,0.002,0.0,0.0,0.001,0.0027247956403269754,0.0021000708446866486,0.021021021021021023,0.010494752623688156,0.0017777777777777779,0.004,0.0,0.0,0.004,0.0,0.001512,0.018018018018018018,0.05847076461769116,0.005555555555555556,0.019999999999999997,0.0,0.0,0.005,0.027247956403269755,0.019110708446866485,0.021021021021021023,0.044977511244377814,0.010333333333333332,0.027999999999999997,0.0,0.0,0.006,0.03814713896457766,0.02637699182561308,0.015015015015015015,0.046476761619190406,0.013444444444444445,0.022,0.0,0.0,0.02,0.05722070844686648,0.043723487738419616,0.08708708708708708,0.11394302848575712,0.041888888888888885,0.05500000000000001,0.0,0.0,0.045,0.04087193460490463,0.04284106267029973,0.15615615615615616,0.15742128935532235,0.15844444444444444,0.16099999999999998,0.0,0.0,0.157,0.1553133514986376,0.15750403814713895,0.03003003003003003,0.017991004497751123,0.016777777777777777,0.016999999999999998,0.0,0.0,0.017,0.021798365122615803,0.020202566757493188,0.009009009009009009,0.01649175412293853,0.012444444444444444,0.012,0.0,0.0,0.011,0.013623978201634877,0.012768354223433243,0.45345345345345345,0.41679160419790107,0.17200000000000001,0.172,0.0,0.0,0.135,0.18256130790190736,0.16640874659400545,0.10810810810810811,0.11694152923538231,0.043,0.043,0.0,0.0,0.042,0.035422343324250684,0.03826292098092643,
Run 8,0.0,0.0029985007496251873,0.0,0.002,0.0,0.0,0.0,0.0027247956403269754,0.0017220708446866486,0.0,0.0029985007496251873,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.006006006006006006,0.0029985007496251873,0.002,0.002,0.0,0.0,0.001,0.0027247956403269754,0.0021000708446866486,0.006006006006006006,0.017991004497751123,0.0017777777777777779,0.002,0.0,0.0,0.004,0.0,0.001512,0.006006006006006006,0.037481259370314844,0.005111111111111111,0.020999999999999998,0.0,0.0,0.002,0.021798365122615803,0.014532566757493188,0.012012012012012012,0.04047976011994003,0.011222222222222222,0.027000000000000003,0.0,0.0,0.007,0.021798365122615803,0.01642256675749319,0.03003003003003003,0.050974512743628186,0.012666666666666665,0.025,0.0,0.0,0.007,0.035422343324250684,0.02503292098092643,0.04504504504504504,0.0734632683658171,0.055111111111111125,0.07400000000000001,0.0,0.0,0.025,0.04904632152588556,0.04044727520435967,0.15315315315315314,0.1454272863568216,0.15933333333333333,0.16199999999999998,0.0,0.0,0.167,0.16076294277929154,0.16472817983651225,0.018018018018018018,0.0239880059970015,0.017444444444444446,0.016999999999999998,0.0,0.0,0.02,0.010899182561307902,0.014448283378746594,0.021021021021021023,0.017991004497751123,0.012444444444444444,0.015000000000000003,0.0,0.0,0.013,0.010899182561307902,0.011802283378746593,0.45345345345345345,0.4407796101949025,0.17166666666666666,0.174,0.0,0.0,0.151,0.1226158038147139,0.13457118801089918,0.0960960960960961,0.08095952023988005,0.042888888888888886,0.041999999999999996,0.0,0.0,0.044,0.04087193460490463,0.04246306267029973,
Run 9,0.0,0.0029985007496251873,0.0,0.002,0.0,0.0,0.0,0.005449591280653951,0.003444141689373297,0.003003003003003003,0.0074962518740629685,0.002,0.002,0.0,0.0,0.001,0.0027247956403269754,0.0021000708446866486,0.0,0.0029985007496251873,0.001888888888888889,0.002,0.0,0.0,0.002,0.0027247956403269754,0.0024780708446866485,0.009009009009009009,0.0239880059970015,0.0022222222222222222,0.003,0.0,0.0,0.003,0.005449591280653951,0.004578141689373297,0.003003003003003003,0.031484257871064465,0.004333333333333333,0.019,0.0,0.0,0.004,0.027247956403269755,0.018732708446866485,0.02702702702702703,0.06896551724137931,0.009666666666666667,0.023,0.0,0.0,0.006,0.01634877384196185,0.01260042506811989,0.03903903903903904,0.05997001499250375,0.013999999999999999,0.020999999999999998,0.0,0.0,0.013,0.01907356948228883,0.01696849591280654,0.08708708708708708,0.1199400299850075,0.042555555555555555,0.065,0.0,0.0,0.05,0.07629427792915532,0.06711798365122616,0.12312312312312312,0.1619190404797601,0.16011111111111112,0.161,0.0,0.0,0.131,0.17166212534059946,0.15800846321525885,0.024024024024024024,0.014992503748125937,0.01633333333333333,0.017999999999999995,0.0,0.0,0.009,0.02452316076294278,0.01890063760217984,0.018018018018018018,0.01199400299850075,0.012333333333333332,0.014000000000000002,0.0,0.0,0.01,0.01634877384196185,0.014112425068119891,0.43543543543543545,0.4497751124437781,0.17144444444444443,0.173,0.0,0.0,0.164,0.1771117166212534,0.17392660490463216,0.0990990990990991,0.12593703148425786,0.04344444444444444,0.043,0.0,0.0,0.03,0.06267029972752043,0.050947629427792906,
Run 10,0.0,0.0014992503748125937,0.0,0.002,0.0,0.0,0.0,0.0027247956403269754,0.0017220708446866486,0.0,0.005997001499250375,0.002,0.002,0.0,0.0,0.001,0.0,3.78E-4,0.003003003003003003,0.014992503748125937,0.002,0.002,0.0,0.0,0.0,0.0027247956403269754,0.0017220708446866486,0.015015015015015015,0.022488755622188907,0.0017777777777777779,0.002,0.0,0.0,0.008,0.010899182561307902,0.009912283378746594,0.006006006006006006,0.050974512743628186,0.004111111111111111,0.018,0.0,0.0,0.002,0.021798365122615803,0.014532566757493188,0.021021021021021023,0.05847076461769116,0.011555555555555557,0.028000000000000004,0.0,0.0,0.008,0.01907356948228883,0.015078495912806541,0.024024024024024024,0.053973013493253376,0.012777777777777777,0.024,0.0,0.0,0.011,0.02452316076294278,0.01965663760217984,0.09309309309309309,0.12143928035982009,0.049555555555555554,0.069,0.0,0.0,0.038,0.05994550408719346,0.052249558583106266,0.15015015015015015,0.14392803598200898,0.1592222222222222,0.16099999999999998,0.0,0.0,0.169,0.16348773841961853,0.16720625068119893,0.015015015015015015,0.029985007496251874,0.01711111111111111,0.017,0.0,0.0,0.012,0.01907356948228883,0.016590495912806542,0.012012012012012012,0.017991004497751123,0.012777777777777777,0.015000000000000003,0.0,0.0,0.014,0.008174386920980926,0.010458212534059945,0.4144144144144144,0.46026986506746626,0.17155555555555557,0.172,0.0,0.0,0.167,0.1226158038147139,0.14061918801089918,0.10810810810810811,0.10044977511244378,0.044111111111111115,0.043,0.0,0.0,0.036,0.04087193460490463,0.03943906267029973,
mean,0.0,0.0022488755622188904,0.0,0.002,0.0,0.0,0.0,0.0019073569482288828,0.001205449591280654,0.0036036036036036037,0.00719640179910045,0.002,0.002,0.0,0.0,0.001,8.174386920980926E-4,8.946212534059946E-4,0.005105105105105105,0.006446776611694153,0.001988888888888889,0.002,0.0,0.0,0.001,0.0027247956403269754,0.0021000708446866486,0.010210210210210211,0.014692653673163417,0.0019555555555555554,0.0028,0.0,0.0,0.0033,0.004087193460490463,0.003830506267029973,0.006906906906906907,0.038980509745127435,0.0048222222222222225,0.022,0.0,0.0,0.0027,0.023433242506811988,0.01583040926430518,0.02012012012012012,0.05442278860569715,0.009677777777777778,0.0256,0.0,0.0,0.0058000000000000005,0.02534059945504087,0.01820765885558583,0.025525525525525526,0.0568215892053973,0.012499999999999999,0.0241,0.0,0.0,0.0131,0.036239782016348775,0.027855342234332423,0.07957957957957958,0.11304347826086956,0.051388888888888894,0.07160000000000001,0.0,0.0,0.0356,0.05885558583106267,0.05065353024523161,0.14744744744744745,0.15697151424287856,0.15934444444444443,0.16159999999999997,0.0,0.0,0.15610000000000002,0.16076294277929154,0.16060797983651226,0.024024024024024024,0.02413793103448276,0.016777777777777777,0.0174,0.0,0.0,0.0169,0.01989100817438692,0.018959317166212533,0.015915915915915915,0.019040479760119938,0.012488888888888888,0.013500000000000002,0.0,0.0,0.0136,0.011444141689373296,0.012373497547683923,0.42252252252252254,0.45142428785607197,0.1713111111111111,0.1725,0.0,0.0,0.1665,0.16321525885558583,0.16608904359673024,0.1021021021021021,0.1007496251874063,0.04303333333333333,0.0427,0.0,0.0,0.0403,0.03978201634877384,0.04037563433242507,
std,0.0,7.901743278781557E-4,0.0,0.0,0.0,0.0,0.0,0.0018390968874946944,0.0011623092328966469,0.0023688007139538,0.006546535889580336,0.0,0.0,0.0,0.0,9.428090415820634E-4,0.0018390968874946944,0.0010902581579467477,0.003481987413598816,0.0058728613874752976,3.513641844631532E-5,0.0,0.0,0.0,8.16496580927726E-4,0.0018165304268846503,0.0011263278789399372,0.005334499537327018,0.0058194609207434835,1.9737648288109964E-4,7.888106377466154E-4,0.0,0.0,0.002057506581601462,0.004112345657646419,0.0029796905626923043,0.004914089172626057,0.014604337027688612,4.919098582484146E-4,0.003126943839882288,0.0,0.0,0.0014181364924121765,0.009190997740725534,0.005977908558361146,0.005671357547233352,0.016348017479501025,0.0010559778232696517,0.0033065591380366005,0.0,0.0,0.0016193277068654826,0.008903779061327862,0.005731490612426298,0.009627319350185858,0.014018859527274281,8.737130453396627E-4,0.003247221034122015,0.0,0.0,0.004629614814791111,0.011984283291586368,0.00824937786417581,0.016824560874846458,0.015406575806494906,0.005534837913346997,0.008208396784864737,0.0,0.0,0.010762073323585109,0.02035811186357406,0.01574237149883483,0.02043856776708405,0.014065103036231172,4.5496800412080346E-4,0.0013498971154211055,0.0,0.0,0.011435325385255407,0.016599152481832028,0.011504557882280041,0.005296799421550731,0.006299627351986774,3.777051491550219E-4,8.432740427115669E-4,0.0,0.0,0.004863697724525606,0.005457154908555786,0.003040229092150217,0.005491838528266347,0.005338210971804731,3.0180072277723527E-4,0.0010801234497346442,0.0,0.0,0.003777124126457412,0.0028141568364813204,0.0012475691148636785,0.022872380033372428,0.01736155238286547,7.197012030513303E-4,0.0013540064007726612,0.0,0.0,0.04310001288991814,0.053309055842942855,0.04812753897435623,0.007753720412827664,0.015138387362442923,5.2128889541487E-4,9.486832980505146E-4,0.0,0.0,0.0055787294451534585,0.009009697923805444,0.004628275241079566,
